연번,소관명,세부사업명,예산(백만원)
294,산업통상자원부,산업기술국제협력(R&D),208832
295,산업통상자원부,우수기업연구소육성사업(ATC+),46888
296,산업통상자원부,디자인산업기술개발,31702
297,산업통상자원부,디자인산업진흥,32840
298,산업통상자원부,지식서비스기반구축,616
299,산업통상자원부,생활산업경쟁력강화,1810
300,산업통상자원부,기술성과활용촉진,7435
301,산업통상자원부,지역혁신클러스터육성(R&D)(세종),3100
302,산업통상자원부,지역혁신클러스터육성(R&D),36935
303,산업통상자원부,"산학융합지구조성
사업",3286
304,산업통상자원부,산업집적지경쟁력강화(R&D),17752
305,산업통상자원부,지역혁신클러스터육성,8020
306,산업통상자원부,중견기업재도약지원,1700
307,산업통상자원부,가스안전관리(융자),3970
308,산업통상자원부,장기사용석유저장시설안전관리융자,1861
309,산업통상자원부,에너지수요관리핵심기술개발(R&D),197961
310,산업통상자원부,해외자원개발특별융자,39000
311,산업통상자원부,에너지국제공동연구(R&D),44018
312,산업통상자원부,에너지절약시설설치(융자),291038
313,산업통상자원부,대한상사중재원지원,743
314,산업통상자원부,해외플랜트진출확대,8200
315,산업통상자원부,무역보험기금출연,80000
316,산업통상자원부,전시산업경쟁력강화지원,6631
317,산업통상자원부,수출경쟁력강화지원,43911
318,산업통상자원부,수출지원기반활용(산업부),91364
319,산업통상자원부,통상협정국내대책추진지원,11293
320,산업통상자원부,중소기업수출지원기반강화,14536
321,산업통상자원부,해외진출기반구축,829
322,산업통상자원부,신재생에너지핵심기술개발(R&D),314103
323,산업통상자원부,신재생에너지금융지원(융자),326300
324,산업통상자원부,원자력생태계지원사업,11208
325,산업통상자원부,무역보험금지급,477000
326,산업통상자원부,전사적DX촉진기술개발(R&D),7524
327,산업통상자원부,디지털전환기반의약품지능형공정혁신기술개발사업,4800
328,산업통상자원부,첨단제조기술기반중재의료기기기술개발사업(R&D),1700
329,산업통상자원부,나노인프라공정서비스역량고도화,1800
330,산업통상자원부,소부장공급망안정종합지원,4547
331,산업통상자원부,xEV보호차체얼라이언스기업지원플랫폼구축,3600
332,산업통상자원부,해외수출형고출력전기기관차구동변환플랫폼핵심기술개발및실증(R&D),2774
333,산업통상자원부,고성능탄소나노복합섬유제조기술개발,2740
334,산업통상자원부,국가필수전략기술고도화를위한고부가정밀화학소재개발,4045
335,산업통상자원부,중견기업공공연기술혁신챌린지(R&D),2000
336,산업통상자원부,중견중소기업상생형혁신도약사업,15587
337,산업통상자원부,국가첨단전략산업특화단지연대협력지원사업(R&D),6300
338,산업통상자원부,국가로봇테스트필드,38131
339,산업통상자원부,핵심전략산업대응탄성소재재도약,4000
340,산업통상자원부,저가격장수명나트륨이차전지핵심소재및셀제조기술개발,5850
341,산업통상자원부,실리콘고함량음극극판및셀적용기술개발,5850
342,산업통상자원부,수출주도미래차산업혁신성장기술지원,6000
343,산업통상자원부,화합물전력반도체고도화기술개발,21170
344,산업통상자원부,K-Carbon플래그십기술개발,17300
345,산업통상자원부,멀티오믹스기반난치암맞춤형진단치료상용화기술개발(R&D),5400
346,산업통상자원부,수요맞춤형바이오원부자재제조경쟁력강화,6594
347,산업통상자원부,혁신형융복합바이오의료제품기술개발및실증,4440
348,산업통상자원부,폐갱도를활용한이산화탄소육상저장시범사업,1520
349,산업통상자원부,에너지산업융복합단지활성화지원,1700
350,산업통상자원부,국가첨단전략산업기술혁신융자,120000
351,산업통상자원부,바이오매스기반비건레더개발및실증클러스터구축(R&D),4920
352,산업통상자원부,이차전지첨단전략산업글로벌협력지원(R&D),2000
