연번,지자체명,세부사업명,예산(백만원)
123,경기,경기도시스템반도체OSAT분야기술개발지원사업(자체/직접),600.0
124,경기,기술닥터(자체/직접),900.0
125,경기,중소기업개발생산판로맞춤형지원(전환)(자체/직접),1455.0
126,경기,소부장기업육성지원(자체/직접),1700.0
127,경기,중소기업비즈니스융합성장지원(자체/직접),250.0
128,경기,메타버스산업육성(자체/직접),4500.0
129,경기,섬유패션산업경쟁력강화(자체/직접),320.0
130,경기,반려동물산업분야유망중소기업육성지원(전환)(자체/직접),363.0
131,경기,기업ESG경영도입기반조성(자체/직접),2000.0
132,경기,여성기업지원센터입주기업지원(자체/직접),160.0
133,경기,경기도혁신기업판로지원(자체/직접),100.0
134,경기,경기창업공모(자체/직접),250.0
135,경기,민간투자연계형기술창업지원(전환)(자체/직접),1185.0
136,경기,섬유패션산업경쟁력강화(자체/지원),935.0
137,경기,매출채권보험료지원(자체/직접),1600.0
138,경기,제3차콘텐츠기업특례보증(자체/직접),405.0
139,경기,사회적경제특례보증및이차보전출연금(자체/직접),3576.0
140,경기,영세소상공인노란우산가입지원(자체/직접),3800.0
141,경기,골목상권활성화사업(자체/직접),2504.4
142,경기,청년노동자지원사업(자체/직접),66135.048
143,경기,중소기업노동자기숙사임차비지원(자체/지원),450.0
144,경기,현장노동자휴게시설개선지원(자체/지원),300.0
145,경기,기술거래촉진네트워크사업(자체/직접),260.0
146,경기,경기스타트업플랫폼운영(자체/직접),380.0
147,경기,R&D첫걸음기업연구소지원(자체/직접),3400.0
148,경기,경기도청년푸드창업허브(자체/직접),350.0
149,경기,메타버스창업등기업종합지원거점센터운영(자체/직접),800.0
150,경기,경기청년해외취·창업기회확충(자체/직접),2500.0
151,경기,경기도테스트베드활용반도체기술개발사업(자체/직접),3000.0
152,경기,경기창업혁신공간운영(자체/직접),4440.0
153,경기,민간주도오픈이노베이션지원(자체/직접),700.0
154,경기,경기도AI실증지원(자체/직접),1800.0
155,경기,자동차부품기업친환경차진입지원(자체/직접),1500.0
156,경기,굴뚝자동측정기기설치·운영관리비지원(국비/직접),281.43
157,경기,가구스마트제조공정시스템구축지원(자체/직접),360.0
158,경기,여성기업마케팅지원(자체/직접),510.0
159,경기,여성기업인식개선지원(자체/직접),30.0
160,경기,경기도경제과학진흥원사업지원(자체/직접),985.0
161,경기,경기도형스마트공장구축및컨설팅지원(자체/지원),3541.0
162,경기,사회적경제창업지원(자체/지원),334.8
163,경기,중소기업디지털전환컨설팅지원(자체/직접),600.0
164,경기,예비·초기기술창업지원(자체/직접),1372.0
165,경기,기후테크스타트업육성(자체/직접),2750.0
166,경기,에너지융자지원사업(자체/직접),9960.0
167,경기,산업단지및중소·중견기업에너지효율화사업융자지원(자체/직접),1500.0
168,경기,신재생에너지보급사업이자차액지원(자체/직접),1000.0
169,경기,섬유가구전시회참가지원(자체/직접),200.0
170,경기,근로시간단축제도도입(자체/직접),8373.462
171,경기,경기도디스플레이기술개발지원사업(자체/직접),600.0
172,경기,경기도양자-반도체융합산업경쟁력강화추진(자체/직접),531.0
173,경기,지역산업맞춤형일자리창출지원사업(균특/직접),1240.214
174,경기,중소기업운전자금지원,159235.481
175,경기,창업및경쟁력강화자금지원,127000.0
176,경기,해외신규전시회개최(자체/직접),500.0
177,경남,굴뚝자동측정기기설치운영관리비지원,49.75
178,경남,농산물가공산업지원,120.0
179,경남,공예유통활성화및시장창출,197.0
180,경남,마을기업육성(지원),15.0
181,경남,사회적기업시설장비지원사업,33.6
182,경남,스마트공장보급확산(국가직접지원),6800.0
183,경남,1시장1특화육성사업,300.0
184,경남,소상공인온라인입점지원,70.0
185,경남,경남신용보증재단기본재산출연,1000.0
186,경남,소상공인골목상권활성화지원사업,200.0
187,경남,소상공인소규모경영환경개선지원,680.0
188,경남,소상공인신용보증수수료지원,380.0
189,경남,소상공인정책자금이차보전금지원,3400.0
190,경남,전통시장시설현대화지원(전환),6338.1
191,경남,전통시장화재공제가입점포공제료지원,94.08
192,경남,시설개선융자,500.0
193,경남,경남수소산업육성플랫폼사업,200.0
194,경남,중소기업연구개발(R&D)사업화지원사업,300.0
195,경남,지역주력산업의세라믹융복합사업화지원사업,350.0
196,경남,고용우수기업인증제추진,310.6
197,경남,연구개발장비공동활용지원,100.0
